"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","2_18a_D1_PROKKA_07032020","2_18b_A4_PROKKA_07032020","2_18b_D1_PROKKA_07032020","2_18b_D3_PROKKA_07032020","3_18a_D6_PROKKA_07032020","3_18b_C5_PROKKA_07132020","3_18b_D5_PROKKA_07132020","3_18c_C3_PROKKA_07142020","O_acuminata_ref_PROKKA_04122021"
"group_1017","","hypothetical protein","9","9","1","1","5972","","","","791","791","791","ACMNIIJE_01067","KBJLFPIH_00387","OLBDELFK_02218","FIJMHGMP_03232","AMABMDDH_02567","AKMBOJBH_00591","LNNPAFAO_04178","EOJAOBGC_04744","CPEPOGAB_00246"
"hemB","","Delta-aminolevulinic acid dehydratase","9","9","1","1","5976","","","","989","1082","1030","ACMNIIJE_01071","KBJLFPIH_00391","OLBDELFK_02222","FIJMHGMP_03236","AMABMDDH_02571","AKMBOJBH_00595","LNNPAFAO_02171","EOJAOBGC_04748","CPEPOGAB_00242"
"group_1019","","hypothetical protein","9","9","1","1","5977","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","473","473","473","ACMNIIJE_01072","KBJLFPIH_00392","OLBDELFK_02223","FIJMHGMP_03237","AMABMDDH_02572","AKMBOJBH_00596","LNNPAFAO_02170","EOJAOBGC_04749","CPEPOGAB_00241"
"group_1020","","hypothetical protein","9","9","1","1","5993","","","","386","386","386","ACMNIIJE_01081","KBJLFPIH_00401","OLBDELFK_02232","FIJMHGMP_03246","AMABMDDH_02582","AKMBOJBH_00606","LNNPAFAO_02160","EOJAOBGC_04759","CPEPOGAB_00232"
"group_1022","","hypothetical protein","9","9","1","1","10884","","","","254","254","254","ACMNIIJE_01106","KBJLFPIH_03833","OLBDELFK_02518","FIJMHGMP_05043","AMABMDDH_04172","AKMBOJBH_01123","LNNPAFAO_01670","EOJAOBGC_05261","CPEPOGAB_02863"
"group_1027","","hypothetical protein","9","9","1","1","4725","","","","329","329","329","ACMNIIJE_01148","KBJLFPIH_03877","OLBDELFK_02473","FIJMHGMP_05004","AMABMDDH_05251","AKMBOJBH_01082","LNNPAFAO_01708","EOJAOBGC_02230","CPEPOGAB_02791"
"rsbW","","Serine-protein kinase RsbW","9","9","1","1","4692","","","","500","500","500","ACMNIIJE_01168","KBJLFPIH_05138","OLBDELFK_02453","FIJMHGMP_04539","AMABMDDH_03747","AKMBOJBH_01063","LNNPAFAO_01727","EOJAOBGC_02249","CPEPOGAB_02769"
"rpmC","","50S ribosomal protein L29","9","9","1","1","757","","","","221","224","221","ACMNIIJE_01208","KBJLFPIH_04182","OLBDELFK_04229","FIJMHGMP_04570","AMABMDDH_03781","AKMBOJBH_01026","LNNPAFAO_01761","EOJAOBGC_02281","CPEPOGAB_02724"
"hemF","","Oxygen-dependent coproporphyrinogen-III oxidase","9","9","1","1","687","","","","1031","1031","1031","ACMNIIJE_01231","KBJLFPIH_04156","OLBDELFK_04252","FIJMHGMP_04594","AMABMDDH_04095","AKMBOJBH_04397","LNNPAFAO_01837","EOJAOBGC_03993","CPEPOGAB_02630"
"group_1035","","hypothetical protein","9","9","1","1","948","","","","668","668","668","ACMNIIJE_01235","KBJLFPIH_04152","OLBDELFK_04256","FIJMHGMP_04599","AMABMDDH_04099","AKMBOJBH_00945","LNNPAFAO_01833","EOJAOBGC_02357","CPEPOGAB_02634"
"rpoC2","","DNA-directed RNA polymerase subunit beta'","9","9","1","1","17104","","","","4073","4076","4073","ACMNIIJE_01274","KBJLFPIH_04737","OLBDELFK_01974","FIJMHGMP_02887","AMABMDDH_03175","AKMBOJBH_03525","LNNPAFAO_02929","EOJAOBGC_01185","CPEPOGAB_05890"
"rpsT","","30S ribosomal protein S20","9","9","1","1","15413","","","","305","305","305","ACMNIIJE_01278","KBJLFPIH_04741","OLBDELFK_01978","FIJMHGMP_02891","AMABMDDH_03179","AKMBOJBH_03521","LNNPAFAO_02924","EOJAOBGC_01190","CPEPOGAB_05894"
"patA_2","","Peptidoglycan O-acetyltransferase","9","9","1","1","15431","","","","1517","1517","1517","ACMNIIJE_01285","KBJLFPIH_04111","OLBDELFK_01987","FIJMHGMP_02899","AMABMDDH_03188","AKMBOJBH_03513","LNNPAFAO_02915","EOJAOBGC_01200","CPEPOGAB_05157"
"mshA_9","","D-inositol-3-phosphate glycosyltransferase","9","9","1","1","17890","","","","1241","1247","1243","ACMNIIJE_01300","KBJLFPIH_04106","OLBDELFK_01996","FIJMHGMP_02909","AMABMDDH_03656","AKMBOJBH_02849","LNNPAFAO_04654","EOJAOBGC_03887","CPEPOGAB_05140"
"btuD_8","","Vitamin B12 import ATP-binding protein BtuD","9","9","1","1","17897","","","","1403","1406","1404","ACMNIIJE_01307","KBJLFPIH_04099","OLBDELFK_02003","FIJMHGMP_02916","AMABMDDH_03662","AKMBOJBH_02843","LNNPAFAO_04660","EOJAOBGC_03893","CPEPOGAB_05133"
"tagG","","Teichoic acid translocation permease protein TagG","9","9","1","1","17898","","","","857","857","857","ACMNIIJE_01308","KBJLFPIH_04098","OLBDELFK_02004","FIJMHGMP_02917","AMABMDDH_03663","AKMBOJBH_02842","LNNPAFAO_04661","EOJAOBGC_03894","CPEPOGAB_05132"
"clpP_3","","ATP-dependent Clp protease proteolytic subunit","9","9","1","1","17912","","","","593","593","593","ACMNIIJE_01317","KBJLFPIH_04087","OLBDELFK_02013","FIJMHGMP_02926","AMABMDDH_03672","AKMBOJBH_02833","LNNPAFAO_04670","EOJAOBGC_03903","CPEPOGAB_05122"
"Dml","","2,3-dimethylmalate lyase","9","9","1","1","11356","","","","872","899","886","ACMNIIJE_03956","KBJLFPIH_01585","OLBDELFK_04199","FIJMHGMP_03969","AMABMDDH_04336","AKMBOJBH_05004","LNNPAFAO_03583","EOJAOBGC_02369","CPEPOGAB_02225"
"group_1050","","hypothetical protein","9","9","1","1","17000","","","","728","728","728","ACMNIIJE_01331","KBJLFPIH_04071","OLBDELFK_02030","FIJMHGMP_02940","AMABMDDH_03167","AKMBOJBH_05306","LNNPAFAO_01316","EOJAOBGC_01177","CPEPOGAB_05729"
"group_1052","","hypothetical protein","9","9","1","1","16982","","","","674","677","674","ACMNIIJE_01339","KBJLFPIH_03952","OLBDELFK_02038","FIJMHGMP_02948","AMABMDDH_03159","AKMBOJBH_05298","LNNPAFAO_01308","EOJAOBGC_01169","CPEPOGAB_05737"
"rplJ","","50S ribosomal protein L10","9","9","1","1","16973","","","","551","551","551","ACMNIIJE_01349","KBJLFPIH_03943","OLBDELFK_02048","FIJMHGMP_02957","AMABMDDH_03150","AKMBOJBH_00935","LNNPAFAO_01299","EOJAOBGC_01160","CPEPOGAB_05746"
"rplA","","50S ribosomal protein L1","9","9","1","1","16972","","","","716","716","716","ACMNIIJE_01350","KBJLFPIH_03942","OLBDELFK_02049","FIJMHGMP_02958","AMABMDDH_03149","AKMBOJBH_00934","LNNPAFAO_01298","EOJAOBGC_01159","CPEPOGAB_05747"
"secE","","Protein translocase subunit SecE","9","9","1","1","16969","","","","221","284","272","ACMNIIJE_01353","KBJLFPIH_03939","OLBDELFK_02052","FIJMHGMP_02961","AMABMDDH_03146","AKMBOJBH_00931","LNNPAFAO_01295","EOJAOBGC_01156","CPEPOGAB_05750"
"rplS","","50S ribosomal protein L19","9","9","1","1","16968","","","","392","392","392","ACMNIIJE_01355","KBJLFPIH_03937","OLBDELFK_02054","FIJMHGMP_02963","AMABMDDH_03144","AKMBOJBH_00929","LNNPAFAO_01293","EOJAOBGC_01154","CPEPOGAB_05752"
"group_1057","","Deoxyhypusine synthase-like protein","9","9","1","1","18022","","","","1187","1187","1187","ACMNIIJE_01356","KBJLFPIH_03936","OLBDELFK_02055","FIJMHGMP_02965","AMABMDDH_03143","AKMBOJBH_00928","LNNPAFAO_01292","EOJAOBGC_01153","CPEPOGAB_05754"
"group_1058","","hypothetical protein","9","9","1","1","18141","","","","1070","1070","1070","ACMNIIJE_01372","KBJLFPIH_03612","OLBDELFK_03540","FIJMHGMP_02522","AMABMDDH_01222","AKMBOJBH_00913","LNNPAFAO_01274","EOJAOBGC_01138","CPEPOGAB_05770"
"prpC","","Protein phosphatase PrpC","9","9","1","1","18130","","","","728","728","728","ACMNIIJE_01383","KBJLFPIH_03602","OLBDELFK_03552","FIJMHGMP_02532","AMABMDDH_01212","AKMBOJBH_00903","LNNPAFAO_01264","EOJAOBGC_01128","CPEPOGAB_05944"
"group_1060","","hypothetical protein","9","9","1","1","18128","","","","335","338","337","ACMNIIJE_01385","KBJLFPIH_03600","OLBDELFK_03554","FIJMHGMP_02534","AMABMDDH_01210","AKMBOJBH_00901","LNNPAFAO_01262","EOJAOBGC_01126","CPEPOGAB_05942"
"lpxA","","Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase","9","9","1","1","18118","","","","812","812","812","ACMNIIJE_01389","KBJLFPIH_03597","OLBDELFK_03558","FIJMHGMP_02537","AMABMDDH_01206","AKMBOJBH_00895","LNNPAFAO_01259","EOJAOBGC_01123","CPEPOGAB_05937"
"ftsH_2","","ATP-dependent zinc metalloprotease FtsH","9","9","1","1","3546","","","","1877","1877","1877","ACMNIIJE_01476","KBJLFPIH_00489","OLBDELFK_04581","FIJMHGMP_04137","AMABMDDH_01952","AKMBOJBH_00704","LNNPAFAO_02066","EOJAOBGC_04589","CPEPOGAB_00148"
"group_1070","","hypothetical protein","9","9","1","1","3535","","","","479","479","479","ACMNIIJE_01483","KBJLFPIH_00496","OLBDELFK_04574","FIJMHGMP_04130","AMABMDDH_01945","AKMBOJBH_00711","LNNPAFAO_02059","EOJAOBGC_04582","CPEPOGAB_00155"
"group_1077","","hypothetical protein","9","9","1","1","10183","","","","251","251","251","ACMNIIJE_01598","KBJLFPIH_00927","OLBDELFK_02576","FIJMHGMP_03355","AMABMDDH_03244","AKMBOJBH_03698","LNNPAFAO_00532","EOJAOBGC_00114","CPEPOGAB_02976"
"tpiA","","Triosephosphate isomerase","9","9","1","1","10325","","","","728","800","736","ACMNIIJE_01658","KBJLFPIH_03213","OLBDELFK_04807","FIJMHGMP_03296","AMABMDDH_03220","AKMBOJBH_03674","LNNPAFAO_00556","EOJAOBGC_00090","CPEPOGAB_03046"
"bchB","","Light-independent protochlorophyllide reductase subunit B","9","9","1","1","14927","","","","185","185","185","ACMNIIJE_01668","KBJLFPIH_03199","OLBDELFK_04816","FIJMHGMP_03287","AMABMDDH_05133","AKMBOJBH_03665","LNNPAFAO_00565","EOJAOBGC_00081","CPEPOGAB_03036"
"glgC","","Glucose-1-phosphate adenylyltransferase","9","9","1","1","19079","","","","1292","1292","1292","ACMNIIJE_01762","KBJLFPIH_04296","OLBDELFK_05546","FIJMHGMP_00706","AMABMDDH_00333","AKMBOJBH_02192","LNNPAFAO_02494","EOJAOBGC_02498","CPEPOGAB_00889"
"gshA","","Glutamate--cysteine ligase","9","9","1","1","19080","","","","1151","1151","1151","ACMNIIJE_01763","KBJLFPIH_04295","OLBDELFK_05547","FIJMHGMP_00707","AMABMDDH_00334","AKMBOJBH_02191","LNNPAFAO_02493","EOJAOBGC_02497","CPEPOGAB_00890"
"ribBA","","Riboflavin biosynthesis protein RibBA","9","9","1","1","18548","","","","1697","1697","1697","ACMNIIJE_01784","KBJLFPIH_04277","OLBDELFK_04387","FIJMHGMP_00726","AMABMDDH_01672","AKMBOJBH_04412","LNNPAFAO_02476","EOJAOBGC_02781","CPEPOGAB_01384"
"group_1095","","hypothetical protein","9","9","1","1","8577","","","","476","476","476","ACMNIIJE_01845","KBJLFPIH_04959","OLBDELFK_04103","FIJMHGMP_01056","AMABMDDH_02101","AKMBOJBH_03891","LNNPAFAO_03030","EOJAOBGC_04385","CPEPOGAB_02052"
"nuoL_1","","NADH-quinone oxidoreductase subunit L","9","9","1","1","15112","","","","1856","1859","1858","ACMNIIJE_01897","KBJLFPIH_03746","OLBDELFK_03521","FIJMHGMP_01110","AMABMDDH_00647","AKMBOJBH_01458","LNNPAFAO_03668","EOJAOBGC_00905","CPEPOGAB_01990"
"pyrD_1","","Dihydroorotate dehydrogenase (quinone)","9","9","1","1","6571","","","","1055","1160","1125","ACMNIIJE_05167","KBJLFPIH_01717","OLBDELFK_04400","FIJMHGMP_00410","AMABMDDH_02940","AKMBOJBH_01255","LNNPAFAO_04088","EOJAOBGC_03578","CPEPOGAB_04388"
"ilvB_1","","Acetolactate synthase large subunit","9","9","1","1","15107","","","","1835","1835","1835","ACMNIIJE_01900","KBJLFPIH_03749","OLBDELFK_03518","FIJMHGMP_01113","AMABMDDH_00644","AKMBOJBH_01455","LNNPAFAO_03665","EOJAOBGC_00902","CPEPOGAB_01987"
"sigA2_2","","RNA polymerase sigma factor SigA2","9","9","1","1","3085","","","","1256","1256","1256","ACMNIIJE_01940","KBJLFPIH_04438","OLBDELFK_01091","FIJMHGMP_02309","AMABMDDH_04205","AKMBOJBH_03396","LNNPAFAO_01104","EOJAOBGC_04874","CPEPOGAB_03955"
"group_1107","","hypothetical protein","9","9","1","1","13451","","","","314","314","314","ACMNIIJE_01960","KBJLFPIH_04457","OLBDELFK_01111","FIJMHGMP_02287","AMABMDDH_02649","AKMBOJBH_00297","LNNPAFAO_03149","EOJAOBGC_02637","CPEPOGAB_03978"
"hscA","","Chaperone protein HscA","9","9","1","1","16100","","","","1610","1637","1619","ACMNIIJE_01987","KBJLFPIH_04123","OLBDELFK_01138","FIJMHGMP_02259","AMABMDDH_01586","AKMBOJBH_03778","LNNPAFAO_02289","EOJAOBGC_02175","CPEPOGAB_05827"
"group_1111","","Glycogen synthase","9","9","1","1","15565","","","","1076","1076","1076","ACMNIIJE_02011","KBJLFPIH_04359","OLBDELFK_01161","FIJMHGMP_02238","AMABMDDH_01547","AKMBOJBH_03817","LNNPAFAO_02251","EOJAOBGC_02137","CPEPOGAB_05804"
"group_1112","","Bacterial dynamin-like protein","9","9","1","1","16344","","","","2066","2078","2067","ACMNIIJE_02025","KBJLFPIH_00963","OLBDELFK_03829","FIJMHGMP_03543","AMABMDDH_04072","AKMBOJBH_03441","LNNPAFAO_02843","EOJAOBGC_01274","CPEPOGAB_05083"
"rcsC_72","","Sensor histidine kinase RcsC","9","9","1","1","16341","","","","1250","1250","1250","ACMNIIJE_02028","KBJLFPIH_00966","OLBDELFK_03826","FIJMHGMP_03540","AMABMDDH_04075","AKMBOJBH_03438","LNNPAFAO_02840","EOJAOBGC_01277","CPEPOGAB_05079"
"pflB","","Formate acetyltransferase","9","9","1","1","15472","","","","2288","2288","2288","ACMNIIJE_02035","KBJLFPIH_00973","OLBDELFK_03819","FIJMHGMP_03531","AMABMDDH_03213","AKMBOJBH_03488","LNNPAFAO_02890","EOJAOBGC_01227","CPEPOGAB_05313"
"pflA","","Pyruvate formate-lyase 1-activating enzyme","9","9","1","1","15471","","","","782","782","782","ACMNIIJE_02036","KBJLFPIH_00974","OLBDELFK_03818","FIJMHGMP_03530","AMABMDDH_03212","AKMBOJBH_03489","LNNPAFAO_02891","EOJAOBGC_01226","CPEPOGAB_05314"
"group_1117","","hypothetical protein","9","9","1","1","15463","","","","254","314","260","ACMNIIJE_02043","KBJLFPIH_00979","OLBDELFK_03812","FIJMHGMP_03522","AMABMDDH_03207","AKMBOJBH_03494","LNNPAFAO_02896","EOJAOBGC_01221","CPEPOGAB_05321"
"group_1118","","hypothetical protein","9","9","1","1","15453","","","","1274","1508","1300","ACMNIIJE_02048","KBJLFPIH_00984","OLBDELFK_03807","FIJMHGMP_03517","AMABMDDH_03202","AKMBOJBH_03499","LNNPAFAO_02901","EOJAOBGC_01216","CPEPOGAB_05326"
"group_1119","","hypothetical protein","9","9","1","1","17886","","","","842","842","842","ACMNIIJE_02053","KBJLFPIH_00990","OLBDELFK_03802","FIJMHGMP_03511","AMABMDDH_03654","AKMBOJBH_02851","LNNPAFAO_04652","EOJAOBGC_03885","CPEPOGAB_05332"
"ftsH_8","","ATP-dependent zinc metalloprotease FtsH","9","9","1","1","2351","","","","1634","1637","1636","ACMNIIJE_02069","KBJLFPIH_01007","OLBDELFK_03786","FIJMHGMP_01873","AMABMDDH_03637","AKMBOJBH_02869","LNNPAFAO_04321","EOJAOBGC_00696","CPEPOGAB_05426"
"rcsC_28","","Sensor histidine kinase RcsC","9","9","1","1","2333","","","","6788","6791","6788","ACMNIIJE_02080","KBJLFPIH_01015","OLBDELFK_03775","FIJMHGMP_01863","AMABMDDH_03629","AKMBOJBH_02878","LNNPAFAO_04312","EOJAOBGC_00688","CPEPOGAB_05416"
"group_1123","","hypothetical protein","9","9","1","1","2310","","","","389","428","415","ACMNIIJE_02089","KBJLFPIH_01024","OLBDELFK_03766","FIJMHGMP_01854","AMABMDDH_05012","AKMBOJBH_02887","LNNPAFAO_04303","EOJAOBGC_00679","CPEPOGAB_05359"
"pgcA_1","","Phosphoglucomutase","9","9","1","1","2296","","","","1466","1472","1471","ACMNIIJE_02097","KBJLFPIH_01032","OLBDELFK_03758","FIJMHGMP_01846","AMABMDDH_05004","AKMBOJBH_02895","LNNPAFAO_04294","EOJAOBGC_00671","CPEPOGAB_05367"
"psbO","","Photosystem II manganese-stabilizing polypeptide","9","9","1","1","2291","","","","827","827","827","ACMNIIJE_02100","KBJLFPIH_01035","OLBDELFK_03755","FIJMHGMP_01842","AMABMDDH_05000","AKMBOJBH_02899","LNNPAFAO_04290","EOJAOBGC_00668","CPEPOGAB_05370"
"cphA","","Cyanophycin synthetase","9","9","1","1","2182","","","","2693","2693","2693","ACMNIIJE_02113","KBJLFPIH_01048","OLBDELFK_04649","FIJMHGMP_01817","AMABMDDH_04986","AKMBOJBH_02913","LNNPAFAO_04276","EOJAOBGC_00646","CPEPOGAB_05395"
"group_1127","","hypothetical protein","9","9","1","1","19513","","","","368","368","368","ACMNIIJE_02120","KBJLFPIH_01315","OLBDELFK_03188","FIJMHGMP_00839","AMABMDDH_03834","AKMBOJBH_02118","LNNPAFAO_02718","EOJAOBGC_01792","CPEPOGAB_01541"
"aroH","","Chorismate mutase AroH","9","9","1","1","19474","","","","389","410","391","ACMNIIJE_02132","KBJLFPIH_01331","OLBDELFK_03200","FIJMHGMP_00851","AMABMDDH_03848","AKMBOJBH_02129","LNNPAFAO_02705","EOJAOBGC_01778","CPEPOGAB_01556"
"group_1132","","hypothetical protein","9","9","1","1","19444","","","","473","479","475","ACMNIIJE_02149","KBJLFPIH_01467","OLBDELFK_03217","FIJMHGMP_00868","AMABMDDH_04802","AKMBOJBH_04874","LNNPAFAO_05121","EOJAOBGC_04895","CPEPOGAB_01070"
"group_1133","","hypothetical protein","9","9","1","1","19433","","","","2231","2231","2231","ACMNIIJE_02153","KBJLFPIH_01471","OLBDELFK_03221","FIJMHGMP_00872","AMABMDDH_03140","AKMBOJBH_04869","LNNPAFAO_02592","EOJAOBGC_01671","CPEPOGAB_01066"
"degU","","Transcriptional regulatory protein DegU","9","9","1","1","19388","","","","677","677","677","ACMNIIJE_02175","KBJLFPIH_01500","OLBDELFK_03243","FIJMHGMP_00891","AMABMDDH_03122","AKMBOJBH_04987","LNNPAFAO_02610","EOJAOBGC_01689","CPEPOGAB_01035"
"group_1135","","hypothetical protein","9","9","1","1","19378","","","","470","473","471","ACMNIIJE_02179","KBJLFPIH_01504","OLBDELFK_03247","FIJMHGMP_00895","AMABMDDH_03118","AKMBOJBH_04983","LNNPAFAO_02615","EOJAOBGC_01693","CPEPOGAB_01031"
"group_1136","","hypothetical protein","9","9","1","1","19375","","","","350","353","352","ACMNIIJE_02182","KBJLFPIH_01507","OLBDELFK_03250","FIJMHGMP_00898","AMABMDDH_03115","AKMBOJBH_04980","LNNPAFAO_02618","EOJAOBGC_01696","CPEPOGAB_01028"
"group_1137","","hypothetical protein","9","9","1","1","19357","","","","392","440","434","ACMNIIJE_02191","KBJLFPIH_01516","OLBDELFK_03259","FIJMHGMP_00907","AMABMDDH_03105","AKMBOJBH_04970","LNNPAFAO_02628","EOJAOBGC_01706","CPEPOGAB_01019"
"group_1138","","hypothetical protein","9","9","1","1","19347","","","","260","263","261","ACMNIIJE_02197","KBJLFPIH_01522","OLBDELFK_03265","FIJMHGMP_00913","AMABMDDH_03098","AKMBOJBH_04964","LNNPAFAO_02634","EOJAOBGC_01712","CPEPOGAB_01013"
"tadA_2","","tRNA-specific adenosine deaminase","9","9","1","1","19338","","","","452","494","489","ACMNIIJE_02203","KBJLFPIH_01527","OLBDELFK_03271","FIJMHGMP_00921","AMABMDDH_03093","AKMBOJBH_04959","LNNPAFAO_02639","EOJAOBGC_01717","CPEPOGAB_01006"
"group_1140","","hypothetical protein","9","9","1","1","19323","","","","413","413","413","ACMNIIJE_02204","KBJLFPIH_01528","OLBDELFK_03272","FIJMHGMP_00922","AMABMDDH_03092","AKMBOJBH_04958","LNNPAFAO_02640","EOJAOBGC_01718","CPEPOGAB_01005"
"group_1142","","hypothetical protein","9","9","1","1","19299","","","","1328","1394","1336","ACMNIIJE_02212","KBJLFPIH_01536","OLBDELFK_03282","FIJMHGMP_00933","AMABMDDH_03082","AKMBOJBH_02185","LNNPAFAO_02651","EOJAOBGC_01726","CPEPOGAB_00993"
"ftrC","","Ferredoxin-thioredoxin reductase, catalytic chain","9","9","1","1","2211","","","","362","479","375","ACMNIIJE_02244","KBJLFPIH_01060","OLBDELFK_04627","FIJMHGMP_01806","AMABMDDH_04479","AKMBOJBH_03542","LNNPAFAO_04262","EOJAOBGC_00637","CPEPOGAB_05404"
"group_1145","","hypothetical protein","9","9","1","1","2212","","","","674","677","674","ACMNIIJE_02245","KBJLFPIH_01061","OLBDELFK_04626","FIJMHGMP_01805","AMABMDDH_04478","AKMBOJBH_03543","LNNPAFAO_04261","EOJAOBGC_00636","CPEPOGAB_05405"
"pntB","","NAD(P) transhydrogenase subunit beta","9","9","1","1","2221","","","","1406","1406","1406","ACMNIIJE_02249","KBJLFPIH_01065","OLBDELFK_04622","FIJMHGMP_01801","AMABMDDH_04474","AKMBOJBH_03548","LNNPAFAO_04257","EOJAOBGC_00632","CPEPOGAB_05409"
"iolG_1","","Myo-inositol 2-dehydrogenase","9","9","1","1","2387","","","","1079","1094","1089","ACMNIIJE_02254","KBJLFPIH_01071","OLBDELFK_04617","FIJMHGMP_01796","AMABMDDH_04471","AKMBOJBH_03551","LNNPAFAO_02453","EOJAOBGC_00626","CPEPOGAB_05437"
"group_1149","","hypothetical protein","9","9","1","1","2388","","","","350","350","350","ACMNIIJE_02255","KBJLFPIH_01072","OLBDELFK_04616","FIJMHGMP_01795","AMABMDDH_04470","AKMBOJBH_03552","LNNPAFAO_02452","EOJAOBGC_00625","CPEPOGAB_05438"
"pdxA2","","D-threonate 4-phosphate dehydrogenase","9","9","1","1","6401","","","","1046","1094","1053","ACMNIIJE_05462","KBJLFPIH_03678","OLBDELFK_00636","FIJMHGMP_00318","AMABMDDH_04389","AKMBOJBH_04110","LNNPAFAO_04822","EOJAOBGC_04534","CPEPOGAB_04825"
"group_1152","der_3","GTPase Der","9","9","1","1","2398","","","","1532","1532","1532","ACMNIIJE_02262","KBJLFPIH_01079","OLBDELFK_04609","FIJMHGMP_01788","AMABMDDH_04462","AKMBOJBH_03559","LNNPAFAO_02444","EOJAOBGC_00618","CPEPOGAB_05445"
"group_1153","","hypothetical protein","9","9","1","1","2425","","","","503","509","503","ACMNIIJE_02272","KBJLFPIH_01090","OLBDELFK_01312","FIJMHGMP_01779","AMABMDDH_04452","AKMBOJBH_03569","LNNPAFAO_02434","EOJAOBGC_00608","CPEPOGAB_05462"
"group_1155","","hypothetical protein","9","9","1","1","2433","","","","392","392","392","ACMNIIJE_02276","KBJLFPIH_01094","OLBDELFK_01316","FIJMHGMP_01775","AMABMDDH_04448","AKMBOJBH_03573","LNNPAFAO_02430","EOJAOBGC_00604","CPEPOGAB_05269"
"apt","","Adenine phosphoribosyltransferase","9","9","1","1","2438","","","","512","512","512","ACMNIIJE_02280","KBJLFPIH_01098","OLBDELFK_01320","FIJMHGMP_01771","AMABMDDH_04444","AKMBOJBH_03577","LNNPAFAO_02426","EOJAOBGC_00600","CPEPOGAB_05265"
